[*] '/workspaces/NYCU-UP-2025-Spring/lab3/sample/gotoku.local'
    Arch:     amd64-64-little
    RELRO:    Full RELRO
    Stack:    No canary found
    NX:       NX enabled
    PIE:      PIE enabled
    RUNPATH:  b'.'
main = 0x16c89
Func         GOT Offset Symbol Offset
gop_213      1d560      156a0     
gop_214      1c270      130c0     
gop_215      1d508      155f0     
gop_216      1c290      13100     
gop_217      1d588      156f0     
gop_218      1c2a8      13130     
gop_219      1d590      15700     
gop_220      1cf90      14b00     
gop_221      1bc48      12470     
gop_222      1cfa0      14b20     
gop_223      1bc60      124a0     
gop_224      1cf20      14a20     
gop_225      1bd88      126f0     
gop_226      1d078      14cd0     
gop_227      1bd38      12650     
gop_228      1d090      14d00     
gop_229      1bd90      12700     
gop_230      1ddd0      16780     
gop_231      1cad8      14190     
gop_232      1dd68      166b0     
gop_233      1cae0      141a0     
gop_234      1dd90      16700     
gop_235      1ca70      140c0     
gop_236      1dec8      16970     
gop_237      1cb98      14310     
gop_238      1de68      168b0     
gop_239      1cba8      14330     
gop_240      1c5d8      13790     
gop_241      1d8d8      15d90     
gop_242      1c600      137e0     
gop_243      1d870      15cc0     
gop_244      1c638      13850     
gop_245      1d890      15d3c     
gop_246      1c5a8      13730     
gop_247      1da38      16050     
gop_248      1c718      13a10     
gop_249      1d9c8      15f70     
gop_250      1d548      15670     
gop_251      1c170      12ec0     
gop_252      1d438      15450     
gop_253      1c190      12f00     
gop_254      1d3e0      153a0     
gop_255      1c1a0      12f20     
gop_256      1d3f0      153c0     
gop_257      1c138      12e50     
gop_258      1d558      15690     
gop_259      1c268      130b0     
gop_260      1de48      16870     
gop_261      1cbc0      14360     
gop_262      1ded0      16980     
gop_263      1cba0      14320     
gop_264      1de90      16900     
gop_265      1cbb0      14340     
gop_266      1de70      168c0     
gop_267      1cb88      142f0     
gop_268      1df38      16a50     
gop_269      1cc40      14460     
gop_270      1c750      13a80     
gop_271      1da70      160c0     
gop_272      1c738      13a50     
gop_273      1da20      16020     
gop_274      1c740      13a60     
gop_275      1d9f8      15fd0     
gop_276      1c708      139f0     
gop_277      1dab8      16150     
gop_278      1c7e0      13ba0     
gop_279      1d9f0      15fc0     
gop_280      1d578      156d0     
gop_281      1c278      130d0     
gop_282      1d530      15640     
gop_283      1c298      13110     
gop_284      1d518      15610     
gop_285      1c258      13090     
gop_286      1d5a8      15730     
gop_287      1c310      13200     
gop_288      1d510      15600     
gop_289      1c300      131e0     
gop_290      1bd60      126a0     
gop_291      1d070      14cc0     
gop_292      1bd78      126d0     
gop_293      1d050      14c80     
gop_294      1bd50      12680     
gop_295      1d0f8      14dd0     
gop_296      1be38      12850     
gop_297      1d040      14c60     
gop_298      1be20      12820     
gop_299      1d140      14e60     
gop_300      1d758      15a90     
gop_301      1c620      13820     
gop_302      1d8c0      15d60     
gop_303      1c5a0      13720     
gop_304      1d900      15de0     
gop_305      1c660      138a0     
gop_306      1d920      15e20     
gop_307      1c678      138d0     
gop_308      1d8e0      15da0     
gop_309      1c3f8      133d0     
gop_310      1c988      13ef0     
gop_311      1dcd0      16580     
gop_312      1c9b8      13f50     
gop_313      1dc68      164b0     
gop_314      1caf8      141d0     
gop_315      1ddb8      16750     
gop_316      1ca90      14100     
gop_317      1dde0      167a0     
gop_318      1cb08      141f0     
gop_319      1de10      16800     
gop_320      1bb90      12300     
gop_321      1ce30      14840     
gop_322      1bae8      121b0     
gop_323      1cfb8      14b50     
gop_324      1bc80      124e0     
gop_325      1cf28      14a30     
gop_326      1bca0      12520     
gop_327      1cfc8      14b70     
gop_328      1bce0      125a0     
gop_329      1cfe0      14ba0     
gop_330      1d300      151e0     
gop_331      1bfa8      12b30     
gop_332      1d320      15220     
gop_333      1bfc8      12b70     
gop_334      1d270      150c0     
gop_335      1c1b0      12f40     
gop_336      1d428      15430     
gop_337      1c148      12e70     
gop_338      1d448      15470     
gop_339      1c1d8      12f90     
gop_340      1c4d0      13580     
gop_341      1d7c0      15b60     
gop_342      1c460      134a0     
gop_343      1d800      15be0     
gop_344      1c478      134d0     
gop_345      1d750      15a80     
gop_346      1c618      13810     
gop_347      1d8b8      15d50     
gop_348      1c598      13710     
gop_349      1d8f8      15dd0     
gop_350      1dca8      16530     
gop_351      1c9e0      13fa0     
gop_352      1dcc0      16560     
gop_353      1c980      13ee0     
gop_354      1dcc8      16570     
gop_355      1c9b0      13f40     
gop_356      1dc60      164a0     
gop_357      1caf0      141c0     
gop_358      1ddb0      16740     
gop_359      1ca88      140f0     
gop_360      1cf80      14ae0     
gop_361      1bb30      12240     
gop_362      1ce70      148c0     
gop_363      1bb60      122a0     
gop_364      1cde8      147b0     
gop_365      1bb88      122f0     
gop_366      1ce28      14830     
gop_367      1bae0      121a0     
gop_368      1cfb0      14b40     
gop_369      1bc78      124d0     
gop_370      1bc28      12430     
gop_371      1cfa8      14b30     
gop_372      1bcc0      12560     
gop_373      1cf70      14ac0     
gop_374      1bc70      124c0     
gop_375      1cf98      14b10     
gop_376      1bc50      12480     
gop_377      1cf58      14a90     
gop_378      1bd18      12610     
gop_379      1d030      14c40     
gop_380      1d458      15490     
gop_381      1c1c8      12f70     
gop_382      1d430      15440     
gop_383      1c180      12ee0     
gop_384      1d450      15480     
gop_385      1c158      12e90     
gop_386      1d418      15410     
gop_387      1c208      12ff0     
gop_388      1d4f0      155c0     
gop_389      1c150      12e80     
gop_390      1c648      13870     
gop_391      1d8e8      15db0     
gop_392      1c5f0      137c0     
gop_393      1d8f0      15dc0     
gop_394      1c5c8      13770     
gop_395      1d8a8      15d30     
gop_396      1c6b8      13950     
gop_397      1d9c0      15f60     
gop_398      1c5b8      13750     
gop_399      1d9b8      15f50     
gop_400      1d608      157f0     
gop_401      1c320      13220     
gop_402      1d7d8      15b90     
gop_403      1c4c0      13560     
gop_404      1d740      15a60     
gop_405      1c4f0      135c0     
gop_406      1d830      15c40     
gop_407      1c528      13630     
gop_408      1d840      15c60     
gop_409      1c4d8      13590     
gop_410      1be48      12870     
gop_411      1d330      15240     
gop_412      1c020      12c20     
gop_413      1d280      150e0     
gop_414      1c068      12cb0     
gop_415      1d368      152b0     
gop_416      1c0a0      12d20     
gop_417      1d378      152d0     
gop_418      1c038      12c50     
gop_419      1d0e0      14da0     
gop_420      1df50      16a80     
gop_421      1ccd0      14580     
gop_422      1df78      16ad0     
gop_423      1cc68      144b0     
gop_424      1bba8      12330     
gop_425      1ce60      148a0     
gop_426      1bb00      121e0     
gop_427      1ce78      148d0     
gop_428      1bbd8      12390     
gop_429      1cec0      14960     
gop_430      1c888      13cf0     
gop_431      1dae8      161b0     
gop_432      1c7f0      13bc0     
gop_433      1dcf8      165d0     
gop_434      1c9d0      13f80     
gop_435      1dc80      164e0     
gop_436      1c9f0      13fc0     
gop_437      1dd18      16610     
gop_438      1ca18      14010     
gop_439      1dd28      16630     
gop_440      1c368      132b0     
gop_441      1d5f0      157c0     
gop_442      1c390      13300     
gop_443      1d600      157e0     
gop_444      1c318      13210     
gop_445      1d7d0      15b80     
gop_446      1c4b8      13550     
gop_447      1d738      15a50     
gop_448      1c4e8      135b0     
gop_449      1d828      15c30     
gop_450      1d158      14e90     
gop_451      1bea0      12920     
gop_452      1d120      14e20     
gop_453      1beb8      12950     
gop_454      1d130      14e40     
gop_455      1be40      12860     
gop_456      1d328      15230     
gop_457      1c018      12c10     
gop_458      1d278      150d0     
gop_459      1c060      12ca0     
gop_460      1cc98      14510     
gop_461      1df98      16b10     
gop_462      1ccb8      14550     
gop_463      1df48      16a70     
gop_464      1ccc8      14570     
gop_465      1df70      16ac0     
gop_466      1cc60      144a0     
gop_467      1bba0      12320     
gop_468      1ce58      14890     
gop_469      1baf8      121d0     
gop_470      1dcb8      16550     
gop_471      1c848      13c70     
gop_472      1db38      16250     
gop_473      1c870      13cc0     
gop_474      1dad0      16180     
gop_475      1c880      13ce0     
gop_476      1dae0      161a0     
gop_477      1c7e8      13bb0     
gop_478      1dcf0      165c0     
gop_479      1c9c8      13f70     
gop_480      1d228      15030     
gop_481      1c078      12cd0     
gop_482      1d350      15280     
gop_483      1c040      12c60     
gop_484      1d2e0      151a0     
gop_485      1c070      12cc0     
gop_486      1d2a8      15130     
gop_487      1bff8      12bd0     
gop_488      1d3a8      15330     
gop_489      1c130      12e40     
gop_490      1bb98      12310     
gop_491      1cea0      14920     
gop_492      1bb50      12280     
gop_493      1ce38      14850     
gop_494      1bb68      122b0     
gop_495      1cdf0      147c0     
gop_496      1bb28      12230     
gop_497      1cf10      14a00     
gop_498      1bc38      12450     
gop_499      1cdd8      14790     
gop_500      1c3d0      13380     
gop_501      1d6d8      15990     
gop_502      1c420      13420     
gop_503      1d6f8      159d0     
gop_504      1c430      13440     
gop_505      1d710      15a00     
gop_506      1ca10      14000     
gop_507      1dce0      165a0     
gop_508      1ca28      14030     
gop_509      1dd10      16600     
gop_510      1dbe8      163b0     
gop_511      1c928      13e30     
gop_512      1dc00      163e0     
